Gliederung;FKS;DQR_Niveau;gueltigVon;gueltigBis
A01;10100;4;;
A01;10104;4;;
A01;10300;4;;
A01;10501;4;;
A01;10502;4;;
A01;10503;4;;
A01;10504;4;;
A01;10505;4;;
A01;10600;4;;
A01;10700;3;;
A01;10750;3;;
A01;10751;3;;
A01;10752;3;;
A01;10753;3;;
A01;10754;3;;
A01;10755;3;;
A01;10800;4;;
A01;11000;4;;
A01;11300;4;;
A01;11400;4;;
A01;11500;4;;
A01;11600;4;;
A01;11700;4;;
A01;11800;4;;
A01;12201;3;;
A01;12202;3;;
A01;12500;4;;
A01;12600;4;;
A01;12700;4;;
A01;12900;4;;
A01;13000;4;;
A01;13100;4;;
A01;13200;4;;
A01;13400;4;;
A01;13401;4;;
A01;13402;4;;
A01;13500;4;;
A01;13600;4;;
A01;13700;4;;
A01;13900;4;;
A01;14000;4;;
A01;14100;4;;
A01;14200;4;;
A01;14400;4;;
A01;14501;4;;
A01;14502;4;;
A01;14700;4;;
A01;14800;3;;
A01;15000;4;;
A01;15100;4;;
A01;15201;4;;
A01;15202;4;;
A01;15500;4;;
A01;15600;4;;
A01;15700;4;;
A01;15900;3;;
A01;16000;3;;
A01;16101;4;;
A01;16102;4;;
A01;16300;4;;
A01;16700;4;;
A01;16800;4;;
A01;16900;4;;
A01;17000;4;;
A01;17100;4;;
A01;17101;4;;
A01;17102;4;;
A01;17200;4;;
A01;17701;4;;
A01;17702;4;;
A01;17703;4;;
A01;17704;4;;
A01;17705;4;;
A01;17706;4;;
A01;17707;4;;
A01;17708;4;;
A01;17709;4;;
A01;18000;4;;
A01;18100;4;;
A01;18200;4;;
A01;18301;4;;
A01;18302;4;;
A01;18303;4;;
A01;18304;4;;
A01;18305;4;;
A01;18400;4;;
A01;18701;4;;
A01;18702;4;;
A01;18900;4;;
A01;19000;4;;
A01;19101;4;;
A01;19102;4;;
A01;19103;4;;
A01;19104;4;;
A01;19300;4;;
A01;19400;4;;
A01;19500;3;;
A01;20000;4;;
A01;20100;3;;
A01;20300;4;;
A01;20700;4;;
A01;20800;4;;
A01;20900;4;;
A01;21000;4;;
A01;21100;4;;
A01;21200;4;;
A01;21300;4;;
A01;21400;4;;
A01;21600;4;;
A01;21700;4;;
A01;21900;4;;
A01;22001;4;;
A01;22002;4;;
A01;22003;4;;
A01;22200;4;;
A01;22300;4;;
A01;22500;3;;
A01;22600;4;;
A01;22700;3;;
A01;22800;4;;
A01;23201;4;;
A01;23203;4;;
A01;23204;4;;
A01;23205;4;;
A01;23206;4;;
A01;23207;4;;
A01;23208;4;;
A01;23400;4;;
A01;23500;4;;
A01;23700;4;;
A01;23801;4;;
A01;23802;4;;
A01;23803;4;;
A01;24000;4;;
A01;24101;4;;
A01;24102;4;;
A01;24103;4;;
A01;24201;4;;
A01;24202;4;;
A01;24400;4;;
A01;24700;4;;
A01;24801;4;;
A01;24802;4;;
A01;24803;4;;
A01;24900;4;;
A01;25001;4;;
A01;25002;4;;
A01;25003;4;;
A01;25100;4;;
A01;25600;4;;
A01;25700;4;;
A01;26000;3;;
A01;26050;3;;
A01;26051;3;;
A01;26052;3;;
A01;26200;4;;
A01;26300;4;;
A01;26400;4;;
A01;26510;4;;
A01;26511;4;;
A01;26600;4;;
A01;26700;4;;
A01;26800;4;;
A01;26900;4;;
A01;27203;4;;
A01;27204;4;;
A01;27205;4;;
A01;27206;4;;
A01;27400;4;;
A01;27500;4;;
A01;27600;4;;
A01;27700;4;;
A01;27900;4;;
A01;28000;4;;
A01;28300;3;;
A01;28600;4;;
A01;28700;3;;
A01;29000;4;;
A01;29300;4;;
A01;29400;4;;
A01;29600;4;;
A01;29700;4;;
A01;29800;4;;
A01;29901;4;;
A01;29902;4;;
A01;30200;4;;
A01;30501;4;;
A01;30502;4;;
A01;30700;4;;
A01;30800;4;;
A01;31000;4;;
A01;31100;4;;
A01;32000;4;;
A01;32200;4;;
A01;32400;4;;
A01;32500;4;;
A01;32600;4;;
A01;32800;4;;
A01;32905;4;;
A01;32906;4;;
A01;32907;4;;
A01;33000;4;;
A01;33400;4;;
A01;33500;4;;
A01;33600;4;;
A01;33705;4;;
A01;33706;4;;
A01;33707;4;;
A01;33801;4;;
A01;33802;4;;
A01;33803;4;;
A01;33903;4;;
A01;33905;4;;
A01;33906;4;;
A01;34001;4;;
A01;34002;4;;
A01;34003;4;;
A01;34100;4;;
A01;34300;3;;
A01;34400;4;;
A01;34500;4;;
A01;35000;3;;
A01;35100;4;;
A01;35200;4;;
A01;35701;4;;
A01;35702;4;;
A01;35703;4;;
A01;35800;4;;
A01;35901;4;;
A01;35902;4;;
A01;36100;4;;
A01;36200;4;;
A01;36500;4;;
A01;36600;4;;
A01;36700;4;;
A01;36806;4;;
A01;36807;4;;
A01;36808;4;;
A01;36809;4;;
A01;36810;4;;
A01;37000;4;;
A01;37100;4;;
A01;37200;4;;
A01;37300;3;;
A01;37400;4;;
A01;37600;4;;
A01;38000;4;;
A01;38100;4;;
A01;38300;4;;
A01;38800;4;;
A01;38900;4;;
A01;39000;3;;
A01;39100;4;;
A01;39301;4;;
A01;39302;4;;
A01;39303;4;;
A01;39601;4;;
A01;39602;4;;
A01;39800;4;;
A01;40000;3;;
A01;40300;4;;
A01;40400;4;;
A01;40700;4;;
A01;40800;4;;
A01;41200;4;;
A01;41300;4;;
A01;41500;4;;
A01;41601;4;;
A01;41602;4;;
A01;41603;4;;
A01;41604;4;;
A01;41605;4;;
A01;41800;4;;
A01;41900;4;;
A01;42300;4;;
A01;42500;4;;
A01;42700;4;;
A01;42800;4;;
A01;42900;4;;
A01;43100;4;;
A01;43200;4;;
A01;43400;4;;
A01;43800;4;;
A01;43901;4;;
A01;43902;4;;
A01;43904;4;;
A01;43905;4;;
A01;43907;4;;
A01;44000;3;;
A01;44200;4;;
A01;44600;4;;
A01;44901;4;;
A01;44902;4;;
A01;45000;3;;
A01;45050;3;;
A01;45051;3;;
A01;45052;3;;
A01;45053;3;;
A01;45201;4;;
A01;45202;4;;
A01;45203;4;;
A01;45301;4;;
A01;45302;4;;
A01;45303;4;;
A01;45304;4;;
A01;45305;4;;
A01;45400;4;;
A01;45500;4;;
A01;45600;4;;
A01;45903;4;;
A01;46000;4;;
A01;46100;4;;
A01;46101;4;;
A01;46102;4;;
A01;46103;4;;
A01;46104;4;;
A01;46105;4;;
A01;46106;4;;
A01;46107;4;;
A01;46200;4;;
A01;46300;3;;
A01;46501;4;;
A01;46502;4;;
A01;46801;4;;
A01;46802;4;;
A01;46803;4;;
A01;46804;4;;
A01;46805;4;;
A01;46806;4;;
A01;46807;4;;
A01;46808;4;;
A01;46809;4;;
A01;47001;4;;
A01;47002;4;;
A01;47200;4;;
A01;47700;4;;
A01;48000;4;;
A01;48001;4;;
A01;48002;4;;
A01;48003;4;;
A01;48004;4;;
A01;48200;4;;
A01;48300;4;;
A01;48500;4;;
A01;48700;4;;
A01;48800;4;;
A01;49100;4;;
A01;49101;4;;
A01;49102;4;;
A01;49201;4;;
A01;49202;4;;
A01;49301;4;;
A01;49302;4;;
A01;49400;4;;
A01;49500;4;;
A01;49600;4;;
A01;49800;4;;
A01;49900;4;;
A01;50000;4;;
A01;50100;4;;
A01;50200;4;;
A01;50300;4;;
A01;50400;4;;
A01;50500;4;;
A01;50600;4;;
A01;50700;4;;
A01;50800;4;;
A01;50900;4;;
A01;51000;4;;
A01;51100;4;;
A01;51200;4;;
A01;51300;4;;
A01;51400;4;;
A01;51500;4;;
A01;51600;4;;
A01;51700;4;;
A01;51801;4;;
A01;51802;4;;
A01;51803;4;;
A01;51804;4;;
A01;51901;4;;
A01;51902;4;;
A01;51903;4;;
A01;51904;4;;
A01;51905;4;;
A01;51906;4;;
A01;52000;4;;
A01;52101;4;;
A01;52102;4;;
A01;52103;4;;
A01;52104;4;;
A01;52200;4;;
A01;52300;4;;
A01;52400;4;;
A01;52500;3;;
A01;52600;4;;
A01;52700;4;;
A01;52800;3;;
A01;52900;3;;
A01;53000;4;;
A01;53150;3;;
A01;53151;3;;
A01;53152;3;;
A01;53153;3;;
A01;53154;3;;
A01;53200;4;;
A01;53301;4;;
A01;53302;4;;
A01;53400;4;;
A01;53500;4;;
A01;53600;3;;
A01;53700;4;;
A01;53800;3;;
A01;53900;4;;
A01;54000;3;;
A01;54100;4;;
A01;54200;4;;
A01;54300;4;;
A01;54400;4;;
A01;54500;4;;
A01;54600;3;;
A01;54700;4;;
A01;54800;4;;
A01;54900;3;;
A01;55001;4;;
A01;55002;4;;
A01;55100;4;;
A01;55200;4;;
A01;55350;4;;
A01;55351;4;;
A01;55352;4;;
A01;55400;4;;
A01;55500;4;;
A01;55601;4;;
A01;55602;4;;
A01;55700;4;;
A01;55800;3;;
A01;55900;4;;
A01;56000;4;;
A01;56100;4;;
A01;56200;4;;
A01;56300;4;;
A01;56400;4;;
A01;56500;4;;
A01;56600;4;;
A01;56700;3;;
A01;56801;3;;
A01;56802;3;;
A01;56901;4;;
A01;56902;4;;
A01;57000;4;;
A01;57100;4;;
A01;57200;4;;
A01;57300;4;;
A01;57400;3;;
A01;57500;4;;
A01;57600;4;;
A01;57700;3;;
A01;57800;3;;
A01;57900;4;;
A01;58000;4;;
A01;58100;4;;
A01;58200;4;;
A01;58300;4;;
A01;58400;4;;
A01;58501;4;;
A01;58502;4;;
A01;58601;3;;
A01;58602;3;;
A01;58701;4;;
A01;58702;4;;
A01;58703;4;;
A01;58800;4;;
A01;58900;4;;
A01;59000;3;;
A01;59100;4;;
A01;59200;4;;
A01;59300;4;;
A01;59400;4;;
A01;59500;3;;
A01;59600;4;;
A01;59701;4;;
A01;59702;4;;
A01;59703;4;;
A01;59704;4;;
A01;59705;4;;
A01;59706;4;;
A01;59801;4;;
A01;59802;4;;
A01;59803;4;;
A01;59900;4;;
A01;60000;4;;
A01;60101;3;;
A01;60102;3;;
A01;60103;3;;
A01;60104;3;;
A01;60200;4;;
A01;60300;4;;
A01;60400;4;;
A01;60500;4;;
A01;60600;4;;
A01;60700;4;;
A01;60800;4;;
A01;60900;4;;
A01;61000;4;;
A01;61101;4;;
A01;61102;4;;
A01;80100;4;;
A01;80200;4;;
A01;80300;4;;
A01;80400;4;;
A01;80500;3;;
A01;80800;4;;
A01;80900;4;;
A01;81000;4;;
A01;81100;3;;
A01;81300;4;;
A01;81400;4;;
A01;81500;3;;
A01;81600;3;;
A01;81700;3;;
A01;81800;4;;
A01;81900;4;;
A01;82200;4;;
A01;82300;3;;
A01;82400;3;;
A01;82500;4;;
A01;82600;3;;
A01;82700;4;;
A01;82800;4;;
A01;83000;4;;
A01;83100;3;;
A01;83200;3;;
A01;83300;3;;
A01;83400;3;;
A01;83500;4;;
A01;83600;4;;
A01;83700;4;;
A01;83800;4;;
A01;83900;3;;
A01;84000;4;;
A01;84200;4;;
A01;84300;3;;
A01;84400;3;;
A01;84701;3;;
A01;84702;3;;
A01;84800;3;;
A01;84900;3;;
A01;85100;4;;
A01;85201;4;;
A01;85202;4;;
A01;85300;3;;
A01;85401;3;;
A01;85402;3;;
A01;85403;3;;
A01;85404;3;;
A01;85500;4;;
A01;85600;4;;
A01;85700;3;;
A01;85900;4;;
A01;86100;4;;
A01;86200;4;;
A01;86300;4;;
A01;86400;4;;
A01;86500;3;;
A01;86600;4;;
A01;86700;4;;
A01;86800;4;;
A01;86900;4;;
A01;87000;3;;
A01;87100;4;;
A01;87200;4;;
A01;87300;4;;
A01;87400;4;;
A01;87500;4;;
A01;87600;4;;
A01;87700;3;;
A01;87800;4;;
A01;87900;4;;
A01;88000;3;;
A01;88100;4;;
A01;88200;4;;
A01;88300;4;;
A01;88400;4;;
A01;88500;4;;
A01;88600;4;;
A01;88700;4;;
A01;88800;3;;
A01;88900;3;;
A01;89000;3;;
A01;89100;4;;
A01;99901;4;;
A01;99902;4;;
A01;99903;4;;
A01;99904;4;;
A01;99905;4;;
A01;99906;4;;
A01;99907;4;;
A01;99908;4;;
A01;99909;4;;
A01;99910;4;;
A01;99911;4;;
A01;99912;4;;
A01;99913;4;;
A02;10100;4;;
A02;10104;4;;
A02;10300;4;;
A02;10501;4;;
A02;10502;4;;
A02;10503;4;;
A02;10504;4;;
A02;10505;4;;
A02;10600;4;;
A02;10700;3;;
A02;10750;3;;
A02;10751;3;;
A02;10752;3;;
A02;10753;3;;
A02;10754;3;;
A02;10755;3;;
A02;10800;4;;
A02;11000;4;;
A02;11300;4;;
A02;11400;4;;
A02;11500;4;;
A02;11600;4;;
A02;11700;4;;
A02;11800;4;;
A02;12201;3;;
A02;12202;3;;
A02;12500;4;;
A02;12600;4;;
A02;12700;4;;
A02;12900;4;;
A02;13000;4;;
A02;13100;4;;
A02;13200;4;;
A02;13400;4;;
A02;13401;4;;
A02;13402;4;;
A02;13500;4;;
A02;13600;4;;
A02;13700;4;;
A02;13900;4;;
A02;14000;4;;
A02;14100;4;;
A02;14200;4;;
A02;14400;4;;
A02;14501;4;;
A02;14502;4;;
A02;14700;4;;
A02;14800;3;;
A02;15000;4;;
A02;15100;4;;
A02;15201;4;;
A02;15202;4;;
A02;15500;4;;
A02;15600;4;;
A02;15700;4;;
A02;15900;3;;
A02;16000;3;;
A02;16101;4;;
A02;16102;4;;
A02;16300;4;;
A02;16700;4;;
A02;16800;4;;
A02;16900;4;;
A02;17000;4;;
A02;17100;4;;
A02;17101;4;;
A02;17102;4;;
A02;17200;4;;
A02;17701;4;;
A02;17702;4;;
A02;17703;4;;
A02;17704;4;;
A02;17705;4;;
A02;17706;4;;
A02;17707;4;;
A02;17708;4;;
A02;17709;4;;
A02;18000;4;;
A02;18100;4;;
A02;18200;4;;
A02;18301;4;;
A02;18302;4;;
A02;18303;4;;
A02;18304;4;;
A02;18305;4;;
A02;18400;4;;
A02;18701;4;;
A02;18702;4;;
A02;18900;4;;
A02;19000;4;;
A02;19101;4;;
A02;19102;4;;
A02;19103;4;;
A02;19104;4;;
A02;19300;4;;
A02;19400;4;;
A02;19500;3;;
A02;20000;4;;
A02;20100;3;;
A02;20300;4;;
A02;20700;4;;
A02;20800;4;;
A02;20900;4;;
A02;21000;4;;
A02;21100;4;;
A02;21200;4;;
A02;21300;4;;
A02;21400;4;;
A02;21600;4;;
A02;21700;4;;
A02;21900;4;;
A02;22001;4;;
A02;22002;4;;
A02;22003;4;;
A02;22200;4;;
A02;22300;4;;
A02;22500;3;;
A02;22600;4;;
A02;22700;3;;
A02;22800;4;;
A02;23201;4;;
A02;23203;4;;
A02;23204;4;;
A02;23205;4;;
A02;23206;4;;
A02;23207;4;;
A02;23208;4;;
A02;23400;4;;
A02;23500;4;;
A02;23700;4;;
A02;23801;4;;
A02;23802;4;;
A02;23803;4;;
A02;24000;4;;
A02;24101;4;;
A02;24102;4;;
A02;24103;4;;
A02;24201;4;;
A02;24202;4;;
A02;24400;4;;
A02;24700;4;;
A02;24801;4;;
A02;24802;4;;
A02;24803;4;;
A02;24900;4;;
A02;25001;4;;
A02;25002;4;;
A02;25003;4;;
A02;25100;4;;
A02;25600;4;;
A02;25700;4;;
A02;26000;3;;
A02;26050;3;;
A02;26051;3;;
A02;26052;3;;
A02;26200;4;;
A02;26300;4;;
A02;26400;4;;
A02;26510;4;;
A02;26511;4;;
A02;26600;4;;
A02;26700;4;;
A02;26800;4;;
A02;26900;4;;
A02;27203;4;;
A02;27204;4;;
A02;27205;4;;
A02;27206;4;;
A02;27400;4;;
A02;27500;4;;
A02;27600;4;;
A02;27700;4;;
A02;27900;4;;
A02;28000;4;;
A02;28300;3;;
A02;28600;4;;
A02;28700;3;;
A02;29000;4;;
A02;29300;4;;
A02;29400;4;;
A02;29600;4;;
A02;29700;4;;
A02;29800;4;;
A02;29901;4;;
A02;29902;4;;
A02;30200;4;;
A02;30501;4;;
A02;30502;4;;
A02;30700;4;;
A02;30800;4;;
A02;31000;4;;
A02;31100;4;;
A02;32000;4;;
A02;32200;4;;
A02;32400;4;;
A02;32500;4;;
A02;32600;4;;
A02;32800;4;;
A02;32905;4;;
A02;32906;4;;
A02;32907;4;;
A02;33000;4;;
A02;33400;4;;
A02;33500;4;;
A02;33600;4;;
A02;33705;4;;
A02;33706;4;;
A02;33707;4;;
A02;33801;4;;
A02;33802;4;;
A02;33803;4;;
A02;33903;4;;
A02;33905;4;;
A02;33906;4;;
A02;34001;4;;
A02;34002;4;;
A02;34003;4;;
A02;34100;4;;
A02;34300;3;;
A02;34400;4;;
A02;34500;4;;
A02;35000;3;;
A02;35100;4;;
A02;35200;4;;
A02;35701;4;;
A02;35702;4;;
A02;35703;4;;
A02;35800;4;;
A02;35901;4;;
A02;35902;4;;
A02;36100;4;;
A02;36200;4;;
A02;36500;4;;
A02;36600;4;;
A02;36700;4;;
A02;36806;4;;
A02;36807;4;;
A02;36808;4;;
A02;36809;4;;
A02;36810;4;;
A02;37000;4;;
A02;37100;4;;
A02;37200;4;;
A02;37300;3;;
A02;37400;4;;
A02;37600;4;;
A02;38000;4;;
A02;38100;4;;
A02;38300;4;;
A02;38800;4;;
A02;38900;4;;
A02;39000;3;;
A02;39100;4;;
A02;39301;4;;
A02;39302;4;;
A02;39303;4;;
A02;39601;4;;
A02;39602;4;;
A02;39800;4;;
A02;40000;3;;
A02;40300;4;;
A02;40400;4;;
A02;40700;4;;
A02;40800;4;;
A02;41200;4;;
A02;41300;4;;
A02;41500;4;;
A02;41601;4;;
A02;41602;4;;
A02;41603;4;;
A02;41604;4;;
A02;41605;4;;
A02;41800;4;;
A02;41900;4;;
A02;42300;4;;
A02;42500;4;;
A02;42700;4;;
A02;42800;4;;
A02;42900;4;;
A02;43100;4;;
A02;43200;4;;
A02;43400;4;;
A02;43800;4;;
A02;43901;4;;
A02;43902;4;;
A02;43904;4;;
A02;43905;4;;
A02;43907;4;;
A02;44000;3;;
A02;44200;4;;
A02;44600;4;;
A02;44901;4;;
A02;44902;4;;
A02;45000;3;;
A02;45050;3;;
A02;45051;3;;
A02;45052;3;;
A02;45053;3;;
A02;45201;4;;
A02;45202;4;;
A02;45203;4;;
A02;45301;4;;
A02;45302;4;;
A02;45303;4;;
A02;45304;4;;
A02;45305;4;;
A02;45400;4;;
A02;45500;4;;
A02;45600;4;;
A02;45903;4;;
A02;46000;4;;
A02;46100;4;;
A02;46101;4;;
A02;46102;4;;
A02;46103;4;;
A02;46104;4;;
A02;46105;4;;
A02;46106;4;;
A02;46107;4;;
A02;46200;4;;
A02;46300;3;;
A02;46501;4;;
A02;46502;4;;
A02;46801;4;;
A02;46802;4;;
A02;46803;4;;
A02;46804;4;;
A02;46805;4;;
A02;46806;4;;
A02;46807;4;;
A02;46808;4;;
A02;46809;4;;
A02;47001;4;;
A02;47002;4;;
A02;47200;4;;
A02;47700;4;;
A02;48000;4;;
A02;48001;4;;
A02;48002;4;;
A02;48003;4;;
A02;48004;4;;
A02;48200;4;;
A02;48300;4;;
A02;48500;4;;
A02;48700;4;;
A02;48800;4;;
A02;49100;4;;
A02;49101;4;;
A02;49102;4;;
A02;49201;4;;
A02;49202;4;;
A02;49301;4;;
A02;49302;4;;
A02;49400;4;;
A02;49500;4;;
A02;49600;4;;
A02;49800;4;;
A02;49900;4;;
A02;50000;4;;
A02;50100;4;;
A02;50200;4;;
A02;50300;4;;
A02;50400;4;;
A02;50500;4;;
A02;50600;4;;
A02;50700;4;;
A02;50800;4;;
A02;50900;4;;
A02;51000;4;;
A02;51100;4;;
A02;51200;4;;
A02;51300;4;;
A02;51400;4;;
A02;51500;4;;
A02;51600;4;;
A02;51700;4;;
A02;51801;4;;
A02;51802;4;;
A02;51803;4;;
A02;51804;4;;
A02;51901;4;;
A02;51902;4;;
A02;51903;4;;
A02;51904;4;;
A02;51905;4;;
A02;51906;4;;
A02;52000;4;;
A02;52101;4;;
A02;52102;4;;
A02;52103;4;;
A02;52104;4;;
A02;52200;4;;
A02;52300;4;;
A02;52400;4;;
A02;52500;3;;
A02;52600;4;;
A02;52700;4;;
A02;52800;3;;
A02;52900;3;;
A02;53000;4;;
A02;53150;3;;
A02;53151;3;;
A02;53152;3;;
A02;53153;3;;
A02;53154;3;;
A02;53200;4;;
A02;53301;4;;
A02;53302;4;;
A02;53400;4;;
A02;53500;4;;
A02;53600;3;;
A02;53700;4;;
A02;53800;3;;
A02;53900;4;;
A02;54000;3;;
A02;54100;4;;
A02;54200;4;;
A02;54300;4;;
A02;54400;4;;
A02;54500;4;;
A02;54600;3;;
